,Beta,Coef t,R2
OverallQual,63701.46132617988,51.25943185882985,0.6429733219958536
Neighborhood,57424.89192931264,39.95698727317871,0.522509915448357
GrLivArea,56294.90210562722,38.361356097632395,0.5021486502718042
ExterQual,54035.95957253745,35.443134745527885,0.46265781169837106
BsmtQual,53208.29490588437,34.45228856584428,0.44859336624399115
KitchenQual,52770.44217408121,33.94322508470379,0.44124076579057503
GarageCars,50875.70949942378,31.849661497993498,0.41012393993308693
GarageArea,49526.9538835541,30.456313899284474,0.3886667590318188
TotalBsmtSF,48744.37473612448,29.680719044436646,0.37648109325168655
1stFlrSF,48130.41392899053,29.0878739083846,0.36705686969596596
FullBath,44540.532588473376,25.862883703886993,0.31434385485924576
GarageFinish,43524.604801771406,25.015693460561913,0.30016761610069354
FireplaceQu,42714.79538431635,24.35843355950939,0.2891018187312975
TotRmsAbvGrd,42400.30332598901,24.107283737798042,0.284860406804438
YearBuilt,41540.27287473317,23.43164815095092,0.27342162073249165
GarageYrBlt,40360.2303049601,22.529835144880625,0.2581079816298796
YearRemodAdd,40285.370041660826,22.47356278020634,0.25715139084530336
Foundation,40063.584946561445,22.30748193842514,0.25432776757565123
GarageType,39342.491625982526,21.773912270073538,0.24525500859043792
MSSubClass,39049.33828618258,21.55972223698573,0.2416136804963267
MasVnrArea,37545.678699664524,20.484532545278388,0.22336446466934445
Fireplaces,37093.995459736456,20.168854090744972,0.2180225385901351
BsmtFinType1,36255.20406164836,19.591045046287544,0.20827391033139464
HeatingQC,35002.47123944923,18.747389866847264,0.19412951880588947
MasVnrType,33896.675266289356,18.02064868556168,0.1820574136615487
BsmtFinSF1,30698.156571396554,16.003094920885584,0.14932026665622378
Exterior2nd,30624.758133116316,15.95814392295485,0.14860707907615445
Exterior1st,30546.298271539403,15.910155523226257,0.14784659927837895
BsmtExposure,30349.82083407008,15.790264668414043,0.14595078205497025
SaleType,29363.28928700651,15.19419136662653,0.13661663083489062
SaleCondition,28901.8085147179,14.918632172238675,0.13235617317458692
LotFrontage,27794.994181692327,14.265802597595053,0.12241294269850145
OverallCond,27691.285256871346,14.205196394203126,0.121501150441654
MSZoning,25855.445567990246,13.147396573447223,0.10592493738798847
WoodDeckSF,25772.21600535063,13.10008762681273,0.10524408301655974
2ndFlrSF,25368.6765520899,12.871468619995971,0.10197407763119026
OpenPorchSF,25092.409233244907,12.715668000736594,0.09976515620798909
HouseStyle,23210.98551622065,11.669290970583768,0.08536529084536526
GarageCond,22639.732176962985,11.35635828430423,0.08121509058859377
GarageQual,22574.16286721224,11.320574358441322,0.08074534068797734
HalfBath,22570.224837489026,11.31842608293818,0.0807171713318704
LotShape,21938.85252652211,10.975259582219353,0.07626442159296443
LotArea,20960.376400559624,10.448214059855902,0.06961331538211213
CentralAir,19966.138380422526,9.918304711793175,0.063165845939264
Electrical,19377.14320711008,9.606909660413114,0.059494067390782224
RoofStyle,18950.610071701947,9.38252875626828,0.05690370634428554
PavedDrive,18504.923649050048,9.149046390549556,0.05425862180474361
BsmtFullBath,18043.158660316087,8.908159328321023,0.051584508782637095
BsmtCond,17964.712783339502,8.867337439006501,0.05113693799277663
BsmtUnfSF,17038.756960733997,8.387619897773758,0.04600128671622794
Fence,14881.320605740037,7.284046060670877,0.035089494337329996
BldgType,14661.822790245653,7.172789190123278,0.034061996141420026
Condition1,14272.065502692476,6.975664805197567,0.032275116882417465
RoofMatl,13840.953834359756,6.758250781665767,0.03035471805553802
BsmtFinType2,13574.827958155267,6.624359249001349,0.02919865398919208
BedroomAbvGr,13363.27399547578,6.5180926686406915,0.02829566527980476
LandContour,12682.546660484373,6.177136892809406,0.025486318186986878
ExterCond,12117.83341548999,5.895380211557785,0.023267199790353965
LotConfig,11478.263256757225,5.577403342168011,0.020875963340521553
KitchenAbvGr,-10796.8216999323,5.239852330474954,0.01847081344922341
EnclosedPorch,-10214.554793208546,4.952381784677913,0.01653229126440947
Functional,9882.11628651843,4.788627176121174,0.01547369681988131
Heating,9489.854983165676,4.595737760104021,0.014269649801767703
ScreenPorch,8853.594549308653,4.2835938696028,0.012420338219512606
Condition2,7784.10837416035,3.760784797641964,0.009600899214604164
PoolArea,7340.769246897142,3.544690769498501,0.00853841595869731
LandSlope,4070.9915008944504,1.9599541041616946,0.0026259989891339597
MoSold,3688.6937750521774,1.7754808607898385,0.0021559533965248567
3SsnPorch,3541.837961964903,1.7046509694881902,0.0019877032147704865
Street,3259.9656472635925,1.568749920763744,0.001683915173776196
YrSold,-2297.6825556473827,1.1052142548010062,0.0008365159328422855
LowQualFinSF,-2034.2150563984897,0.9783945310841374,0.0006556738936119855
MiscVal,-1683.3532416618914,0.8095571406872847,0.0004489982853329577
BsmtHalfBath,-1338.1417763277318,0.6434850714583359,0.000283725533993473
Utilities,1137.1635129443118,0.5468171686363046,0.0002048990741908563
BsmtFinSF2,-903.9064461105397,0.43463663043636447,0.00012946164773586233
