,0
Model,GradientBoostingRegressor
User,simondyates
Date,2020-05-29 14-34
OverallQual,0.3083225176411219
GrLivArea,0.19526907013935194
Neighborhood,0.13843718218965287
TotalBsmtSF,0.03798559547723686
GarageArea,0.03154424945149094
BsmtFinSF1,0.02911778133663802
KitchenQual,0.026002941815721343
GarageCars,0.02295395578889358
GarageFinish,0.022438880079580555
1stFlrSF,0.020349317891846266
CentralAir,0.017315079710539114
LotArea,0.014099792563660474
OverallCond,0.013483750521527341
FireplaceQu,0.010613727067546307
YearRemodAdd,0.010229872960885525
YearBuilt,0.009719156964167724
BsmtQual,0.008396990879566099
MSZoning,0.007709031284013939
SaleCondition,0.005923759564855881
OpenPorchSF,0.00522000264917927
2ndFlrSF,0.004581732680048551
BsmtUnfSF,0.004201863413604671
SaleType,0.004060993703925879
BsmtExposure,0.003831856666377635
BsmtFinType1,0.003562455077548559
Fireplaces,0.0035497264671076074
GarageYrBlt,0.0035327317049183887
BsmtFullBath,0.002983719958338379
Functional,0.002729849401566329
Condition1,0.002411802324562985
Exterior1st,0.002404430180533088
LotFrontage,0.002186123024632192
YrSold,0.0020202516089148394
GarageQual,0.0017680522590036208
ScreenPorch,0.001594247070973917
WoodDeckSF,0.0015683310166594872
MoSold,0.0015278598171396154
HeatingQC,0.0013290067339415423
TotRmsAbvGrd,0.0010495178593355682
EnclosedPorch,0.0010273510181726482
BsmtCond,0.0009823253401249718
BedroomAbvGr,0.0009778811410577823
Exterior2nd,0.0008739019962875399
LotConfig,0.0007027256544496128
Fence,0.0006535450751795665
LandContour,0.0006244487767349692
LandSlope,0.0006200508930230993
KitchenAbvGr,0.0006199813385985599
BsmtFinSF2,0.000607499254983542
3SsnPorch,0.0005792702207771817
PoolArea,0.0005721582881727767
FullBath,0.0005495865144010046
MasVnrArea,0.0005361057584478253
RoofMatl,0.00047474455747045313
Electrical,0.0004399156574454268
HalfBath,0.0004369169539675745
GarageType,0.0004238653785169665
Heating,0.00029042835114029427
Foundation,0.00027604460066942384
PavedDrive,0.00027214393138872117
MSSubClass,0.0002564149560557866
ExterCond,0.0002515592775710678
BsmtFinType2,0.000159868652309355
MasVnrType,0.00013969192880112905
ExterQual,0.0001338758895346682
RoofStyle,0.00011997431187469523
GarageCond,0.00011217045848127683
Utilities,7.997611288795569e-05
LotShape,4.834064820428191e-05
BldgType,3.9834829191339084e-05
Condition2,3.804034919740579e-05
MiscVal,2.8909457724993532e-05
LowQualFinSF,2.324548054747285e-05
BsmtHalfBath,0.0
Street,0.0
HouseStyle,0.0
