,0
Model,Lasso
User,simondyates
Date,2020-05-29 14-47
GrLivArea,0.11812157957698166
OverallQual,0.0918464768105617
Neighborhood,0.04484528859229897
TotalBsmtSF,0.03874869145720887
BsmtFinSF1,0.031229613940650332
MSZoning,0.022618227318415562
GarageCars,0.019222284750592917
GarageArea,0.017585631925799122
YearRemodAdd,0.016048979736507544
KitchenQual,0.015968088845125596
OverallCond,0.015436467430742251
SaleCondition,0.01402852371323561
Fireplaces,0.013552702218607396
GarageFinish,0.013529842437906723
CentralAir,0.011868219994280522
YearBuilt,0.011043376082616154
BsmtExposure,0.008783548087613339
HeatingQC,0.006494098100528099
LotArea,0.005655977983748015
BsmtQual,0.004445484680680226
Functional,0.003261212102805606
FireplaceQu,0.002089625819996542
GarageQual,0.0017580612907028188
Condition1,0.001665585821174101
BsmtFinType1,0.0007612975282003208
WoodDeckSF,0.00029560740442203533
BldgType,9.316656562750246e-05
Street,0.0
ExterQual,0.0
LotFrontage,0.0
ExterCond,0.0
Foundation,0.0
MasVnrType,0.0
MasVnrArea,0.0
LotShape,0.0
Exterior2nd,0.0
Exterior1st,0.0
Condition2,0.0
RoofMatl,0.0
RoofStyle,0.0
LandContour,0.0
Utilities,0.0
LotConfig,0.0
LandSlope,0.0
BsmtCond,0.0
HouseStyle,0.0
Heating,0.0
BsmtFinType2,0.0
GarageType,0.0
YrSold,0.0
MoSold,0.0
MiscVal,0.0
Fence,0.0
PoolArea,0.0
ScreenPorch,0.0
3SsnPorch,0.0
EnclosedPorch,0.0
OpenPorchSF,0.0
PavedDrive,0.0
GarageCond,0.0
GarageYrBlt,0.0
TotRmsAbvGrd,0.0
BsmtFinSF2,0.0
KitchenAbvGr,0.0
BedroomAbvGr,0.0
HalfBath,0.0
FullBath,0.0
BsmtHalfBath,0.0
BsmtFullBath,0.0
LowQualFinSF,0.0
2ndFlrSF,0.0
1stFlrSF,0.0
Electrical,0.0
SaleType,0.0
BsmtUnfSF,0.0
MSSubClass,0.0
