,0
Model,LinearRegression
User,simondyates
Date,2020-05-29 16-45
OverallQual,0.08417741349518025
GrLivArea,0.13922494305041114
Neighborhood,0.0341777065226399
BsmtFinSF1,0.03556467617675694
CentralAir,0.010093868442741075
GarageCars,0.03458264590531182
SaleCondition,0.030189166154717874
OverallCond,0.0530045657232566
TotalBsmtSF,0.04095610861494524
YearBuilt,0.04085137320756813
MSZoning,0.03017044044139041
LotArea,0.01899805075676981
BldgType,0.015268100070163876
BsmtExposure,0.017246713580489913
Condition1,0.016970879907945557
HeatingQC,0.014373846416619632
FireplaceQu,0.019628962054419722
Foundation,0.01768993174203822
BsmtFullBath,0.013946051116925809
GarageQual,0.011902777485154312
