,0
Model,RandomForestRegressor
User,simondyates
Date,2020-05-29 14-34
OverallQual,0.2788894123531697
GrLivArea,0.12662754203334356
Neighborhood,0.11331460111213947
ExterQual,0.05863743816460994
GarageArea,0.04033062715293683
YearBuilt,0.03650398569974343
TotalBsmtSF,0.03371368931467904
KitchenQual,0.032918340490738315
1stFlrSF,0.029428557238901327
GarageCars,0.028939065068548313
BsmtFinSF1,0.021109770062976856
BsmtQual,0.015862660827423283
LotArea,0.012585207208705259
FireplaceQu,0.01250686297005197
2ndFlrSF,0.010859306826463895
GarageYrBlt,0.009566679651554805
Fireplaces,0.008290953670102772
GarageFinish,0.008138403677023042
YearRemodAdd,0.008092315526520477
OverallCond,0.0073287054226951346
TotRmsAbvGrd,0.007212053179087975
CentralAir,0.0069744976135442255
LotFrontage,0.006126595719611989
BsmtUnfSF,0.005861614449546088
FullBath,0.005410466559139141
OpenPorchSF,0.005405281221997328
MSZoning,0.004047449586351109
BsmtFinType1,0.004042729285930058
MoSold,0.0032150352502870786
MasVnrArea,0.002935653050127022
BedroomAbvGr,0.0029129947952969215
Exterior1st,0.002886067868819382
GarageQual,0.0028619219692998872
WoodDeckSF,0.002810812978542889
GarageCond,0.0027734716772780054
SaleCondition,0.0026112086831279677
MSSubClass,0.0025764359783423236
Exterior2nd,0.0025643915158898296
GarageType,0.0021889980019837055
BsmtExposure,0.0019110709727026523
BsmtFullBath,0.0018744566124360073
BsmtCond,0.0018609092972207287
HeatingQC,0.001834821878551935
YrSold,0.0017800250356012112
HalfBath,0.0013783025539542712
LotShape,0.001306564659103818
HouseStyle,0.0012745382024873589
Condition1,0.0011560105608762002
Foundation,0.001138669243560984
Functional,0.0011339541337375095
ExterCond,0.0010904475652605662
EnclosedPorch,0.0010251435572903535
KitchenAbvGr,0.0009509402291407574
SaleType,0.0009470673941513745
LotConfig,0.0009277142199760477
MasVnrType,0.0008796718250012378
Heating,0.0008740085458030194
LandContour,0.000814299062951295
PavedDrive,0.0008121442223512263
RoofStyle,0.0008018926028612371
Fence,0.0007828612368319356
BldgType,0.0007194892636065804
Electrical,0.0006427186738657182
BsmtFinSF2,0.0005378621199225059
BsmtFinType2,0.00051423150052268
ScreenPorch,0.0004813055866811257
LandSlope,0.0004343475194532172
BsmtHalfBath,0.00022709511921124032
RoofMatl,0.00022360941522530666
MiscVal,0.00018677121567651678
3SsnPorch,0.00014628507385534302
LowQualFinSF,0.00011364947185254759
PoolArea,7.764842502492224e-05
Condition2,5.1796359964995796e-05
Street,1.7188648805019847e-05
Utilities,8.684137950107678e-06
