,0
Model,Ridge
User,simondyates
Date,2020-05-29 14-47
OverallQual,0.06330657393771415
GrLivArea,0.05886903234273114
1stFlrSF,0.04044101305444152
OverallCond,0.03926311346176254
Neighborhood,0.032330234743864567
2ndFlrSF,0.032013610877054184
TotalBsmtSF,0.03090632129083834
BsmtFinSF1,0.029325796179429
MSZoning,0.027362021586155194
SaleCondition,0.02547204486292165
Functional,0.020037108637708922
TotRmsAbvGrd,0.019777691120441643
YearBuilt,0.01752704701170985
GarageCars,0.01685717220606471
Condition1,0.016131382934917043
LotArea,0.01547036181417268
GarageArea,0.015217948960424367
KitchenQual,0.014699830658150554
Foundation,0.014300497735713522
Fireplaces,0.013777407083446859
BsmtExposure,0.013560793938014884
Exterior1st,0.012597193929296526
HeatingQC,0.01237591498430898
ExterQual,0.012313965011201803
ScreenPorch,0.011158026850669267
CentralAir,0.010783556121682468
YearRemodAdd,0.010619053821377204
FullBath,0.010182759569833402
BsmtFullBath,0.009861828486656428
BsmtQual,0.00968798997956388
HalfBath,0.00960778079960752
LotConfig,0.009503386435735627
FireplaceQu,0.009395095045110274
WoodDeckSF,0.009114814018084162
EnclosedPorch,0.009082049549881831
BsmtFinSF2,0.00813532687922325
GarageQual,0.007935275855902285
Utilities,0.006994701513951881
OpenPorchSF,0.006837435592158653
BldgType,0.00670034827126226
KitchenAbvGr,0.006471519699186177
Exterior2nd,0.006436500614638771
MSSubClass,0.006426852704288616
BsmtFinType1,0.00611730703850442
LotFrontage,0.005776059768291993
3SsnPorch,0.005715418059039709
BsmtCond,0.005579435179415481
ExterCond,0.005403388158846494
HouseStyle,0.005089632310206793
Heating,0.004990913040389976
GarageCond,0.004740040815873768
Condition2,0.0045594631274885
LowQualFinSF,0.004504592287976111
Electrical,0.0037985230750234088
MasVnrType,0.003788856268027388
RoofMatl,0.0035992414143927822
BsmtFinType2,0.0033457985276576286
YrSold,0.003241695816853721
MasVnrArea,0.0029724843552734804
RoofStyle,0.0028418106174627968
BsmtUnfSF,0.0027780020901090633
GarageFinish,0.0027675098505593712
GarageYrBlt,0.0022105275977972816
Street,0.0021549003695979594
PavedDrive,0.001891091703455656
BedroomAbvGr,0.0018785397806969537
SaleType,0.001796193825347627
LandContour,0.0016756028233470073
MoSold,0.0014935834041665738
LandSlope,0.001461174148144156
PoolArea,0.0013978207805807647
LotShape,0.00120597557107242
BsmtHalfBath,0.0008290303381033471
GarageType,0.0004946405483188969
MiscVal,0.00031014329040141334
Fence,5.674596181846577e-05
