,Beta,Coef t,R2
OverallQual,65711.0662391228,56.220449282326236,0.6841812868534438
Neighborhood,58678.65429623611,41.852727002367764,0.5455749908095633
GrLivArea,56294.90210562722,38.361356097632395,0.5021486502718042
ExterQual,54889.41046732785,36.506778659868665,0.4773877777270066
BsmtQual,54172.20201053523,35.609985798442395,0.4649937780802089
KitchenQual,53680.953065260546,35.01342365000051,0.4565986244445387
GarageCars,50875.70949942378,31.849661497993498,0.41012393993308693
GarageArea,49526.9538835541,30.456313899284474,0.3886667590318188
TotalBsmtSF,48744.37473612448,29.680719044436646,0.37648109325168655
1stFlrSF,48130.41392899053,29.0878739083846,0.36705686969596596
FullBath,44540.532588473376,25.862883703886993,0.31434385485924576
GarageFinish,43936.3538489321,25.355927571297716,0.3058737373969348
FireplaceQu,43072.25356112333,24.64665019107273,0.29396075415891576
TotRmsAbvGrd,42400.30332598901,24.107283737798042,0.284860406804438
YearBuilt,41540.27287473317,23.43164815095092,0.27342162073249165
GarageYrBlt,40360.2303049601,22.529835144880625,0.2581079816298796
YearRemodAdd,40285.370041660826,22.47356278020634,0.25715139084530336
Foundation,40223.9916804454,22.427505710707457,0.25636840153041784
GarageType,39657.98313386887,22.00616894845219,0.24920423050428975
MSSubClass,39427.49688510958,21.83631134742933,0.24631597281756634
MasVnrArea,37545.678699664524,20.484532545278388,0.22336446466934445
Fireplaces,37093.995459736456,20.168854090744972,0.2180225385901351
BsmtFinType1,36475.306046437734,19.7416295437268,0.2108104096829615
HeatingQC,35125.84971728165,18.82949503506743,0.19550048584009327
MasVnrType,34010.01023809576,18.094394965240063,0.1832768823042069
Exterior2nd,31158.26315795431,16.28617588460233,0.1538298601250231
Exterior1st,31051.05760427427,16.22001539782987,0.15277312314209424
BsmtExposure,30716.660443760087,16.014436072805463,0.14950033192328738
BsmtFinSF1,30698.156571396554,16.003094920885584,0.14932026665622378
SaleType,29435.295234081124,15.237372163317543,0.13728748697856408
SaleCondition,29242.770945356104,15.122030771773655,0.13549747687070102
OverallCond,28130.96107073032,14.462790878042957,0.12539011556327662
MSZoning,26054.1960110438,13.260588943721034,0.10755968344624967
WoodDeckSF,25772.21600535063,13.10008762681273,0.10524408301655974
2ndFlrSF,25368.6765520899,12.871468619995971,0.10197407763119026
OpenPorchSF,25092.409233244907,12.715668000736594,0.09976515620798909
HouseStyle,23339.421467370325,11.739943389113236,0.08631262730434441
GarageQual,22668.480412199417,11.372056066390599,0.08142147756215534
GarageCond,22657.999384089344,11.366332358122378,0.08134620268758008
HalfBath,22570.224837489026,11.31842608293818,0.0807171713318704
LotShape,21954.853406772818,10.983925934405423,0.07637570753025602
LotArea,20960.376400559624,10.448214059855902,0.06961331538211213
CentralAir,19966.13838042217,9.918304711793164,0.063165845939264
Electrical,19402.671668935167,9.620368616766216,0.05965093184495174
RoofStyle,19082.18678018282,9.451647101663971,0.05769663012815174
PavedDrive,18552.79746612961,9.174079280163806,0.05453972833063825
BsmtFullBath,18043.158660316087,8.908159328321023,0.051584508782637095
BsmtCond,18010.125830902725,8.890966088490478,0.051395803189195455
BsmtUnfSF,17038.756960733997,8.387619897773758,0.04600128671622794
LotFrontage,16653.050839055082,8.188916834563145,0.04394219823329737
Fence,14992.279362803463,7.34035571745709,0.035614716819188263
BldgType,14763.064929049116,7.224083735377374,0.03453402688877838
Condition1,14350.45641816907,7.015268178171835,0.032630639959521424
RoofMatl,14080.188730533835,6.878819493811737,0.03141312304363586
BsmtFinType2,13827.100227711453,6.751274920279915,0.030293983531671898
BedroomAbvGr,13363.27399547578,6.5180926686406915,0.02829566527980476
LandContour,12758.892714773909,6.215303380290825,0.025794085461307792
ExterCond,12208.744073793947,5.940674412634876,0.023617620672068962
PoolQC,11565.889970505366,5.620900512326442,0.021195920212432662
LotConfig,11517.619038002385,5.5969365862852865,0.021019364538064744
Alley,11348.75704661481,5.513156369798374,0.020407544901275165
KitchenAbvGr,-10796.8216999323,5.239852330474954,0.01847081344922341
EnclosedPorch,-10214.554793208546,4.952381784677913,0.01653229126440947
Functional,10198.507144004037,4.944470831801136,0.016480385721401203
Heating,9545.384644591715,4.623022376614982,0.014437135426315528
ScreenPorch,8853.594549308653,4.2835938696028,0.012420338219512606
Condition2,7904.094173578173,3.819329429050595,0.009899160716467348
PoolArea,7340.769246897142,3.544690769498501,0.00853841595869731
MiscFeature,6684.3929098376675,3.225369791612088,0.007079752947132478
LandSlope,4113.8834822223025,1.9806594222281912,0.0026816255642717612
MoSold,3688.6937750521774,1.7754808607898385,0.0021559533965248567
3SsnPorch,3541.837961964903,1.7046509694881902,0.0019877032147704865
Street,3259.965647263559,1.5687499207637416,0.0016839151737757518
YrSold,-2297.6825556473827,1.1052142548010062,0.0008365159328422855
LowQualFinSF,-2034.2150563984897,0.9783945310841374,0.0006556738936119855
MiscVal,-1683.3532416618914,0.8095571406872847,0.0004489982853329577
BsmtHalfBath,-1338.1417763277318,0.6434850714583359,0.000283725533993473
Utilities,1137.1635129443312,0.5468171686363109,0.0002048990741908563
BsmtFinSF2,-903.9064461105397,0.43463663043636447,0.00012946164773586233
